City	Address	Floor Area	Lot Area	IMG	Price
Batangas	"Lot 5 Block 60, Logrunner St., Canyon Woods Residential Resort Ph-2, Talisay City, Batangas"	377		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"3,016,000"
Batangas	"Lot Nos. 19 & 21, Block 5 located along Lt. Marcos St., GUV Subdivision, San Pascual, Batangas"	360	290	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"4,185,000"
Batangas	"Lot Nos. 6088-A, 6088-B, 6088-Cξ Brgy. Pangao, Lipa City, Batangas"	60000		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"25,435,820"
Batangas	"Lotξ 3 Block. 5, Rancho Vista Subdivision, Bo. Santiago, Sto. Tomas, Batangas City"	1011		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"3,235,200"
Batangas	"Lots 509-A, 509-C, 509-D & 506, National Road, Brgy. Sta. Anastacia, Sto. Tomas, Batangas"	7560		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"16,148,160"
Batangas	"Plantacion Meridienne Subdivision, Along Ibaan-Lipa, Brgy. Cumba, Lipa City"	96  to 329			"297,600 to 1019900"
Batangas	"Ponte Verde de Sto. Tomas Subdivision, Brgy. San Rafael, Sto. Tomas, Batangas (114 lots)"	150 to 343			"480,000 to 1097600"
Batangas	"Unit No. 2-D, Wyndham Hills Fantasy World, Lemery, Batangas (Inclusive of Fantasy World Membershipξ - with authority to sell)"	36	63	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"1,900,000"
Batangas	"Lot 28 Block 12 B, Canyon Woods Residential Resort, Diokno Highway, Laurel, Batangas"	390		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"2,925,000"
Batangas	"Lot 29 Block 12 B, Canyon Woods Residential Resort, Diokno Highway, Laurel, Batangas"	420		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"3,150,000"
Batangas	"Lot 30 Block 12 B, Canyon Woods Residential Resort, Diokno Highway, Laurel, Batangas"	465		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"3,487,500"
Batangas	"Lot 31 Block 12 B, Canyon Woods Residential Resort, Diokno Highway, Laurel, Batangas"	426		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"3,195,000"
Batangas	"Lot 32 Block 12 B, Canyon Woods Residential Resort, Diokno Highway, Laurel, Batangas"	397		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"2,977,500"
Batangas	"Lot 49 Block 23, Canyon Woods Residential Resort, Diokno Highway, Laurel, Batangas"	164		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"1,230,000"
Batangas	"Lots 43-B-13-D & 440-B, SW corner of Bonifacio & Vicente Sts., Lipa City, Batangas"	602	386	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"5,055,800"
Benguet	"Lot 1 Block 5, Earth cor. Jupiter St., Alpa Ville Subdivision, Brgy. Tuding, Itogon, Benguet"	194		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"679,000"
Benguet	"Lot 1-K, Brgy. Tuding, Itogon, Benguet"	500		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"856,710"
